utc_timestamp,FR_windspeed_10m,FR_temperature,FR_radiation_direct_horizontal,FR_radiation_diffuse_horizontal
2010-01-01T00:00:00Z,4.65,2.107,0,0
2010-01-01T01:00:00Z,4.72,1.95,0,0
2010-01-01T02:00:00Z,4.78,1.814,0,0
2010-01-01T03:00:00Z,4.91,1.74,0,0
2010-01-01T04:00:00Z,5.06,1.626,0,0
2010-01-01T05:00:00Z,5.29,1.433,0,0
2010-01-01T06:00:00Z,5.42,1.232,3.83E-06,0.000296172
2010-01-01T07:00:00Z,5.43,1.055,0.033623198,1.879676802
2010-01-01T08:00:00Z,5.55,1.212,1.240614993,31.28378501
2010-01-01T09:00:00Z,5.89,1.725,6.808989721,84.41671028
2010-01-01T10:00:00Z,6.1,2.254,15.44580797,126.871792
2010-01-01T11:00:00Z,6.19,2.678,22.68268064,149.0995194
2010-01-01T12:00:00Z,6.23,2.915,24.09725325,147.7798467
2010-01-01T13:00:00Z,6.1,2.922,20.14587784,125.6946222
2010-01-01T14:00:00Z,5.57,2.605,10.85370548,82.67299452
2010-01-01T15:00:00Z,4.72,1.601,2.49104194,27.98375806
2010-01-01T16:00:00Z,4.45,0.406,0.028684017,0.581015983
2010-01-01T17:00:00Z,4.35,-0.198,0,0
2010-01-01T18:00:00Z,4.15,-0.73,0,0
2010-01-01T19:00:00Z,3.93,-1.123,0,0
2010-01-01T20:00:00Z,3.72,-1.435,0,0
2010-01-01T21:00:00Z,3.58,-1.601,0,0
2010-01-01T22:00:00Z,3.48,-1.728,0,0
2010-01-01T23:00:00Z,3.42,-1.827,0,0
2010-01-02T00:00:00Z,3.42,-1.918,0,0
2010-01-02T01:00:00Z,3.43,-2.036,0,0
2010-01-02T02:00:00Z,3.46,-2.156,0,0
2010-01-02T03:00:00Z,3.44,-2.27,0,0
2010-01-02T04:00:00Z,3.36,-2.402,0,0
2010-01-02T05:00:00Z,3.29,-2.513,0,0
2010-01-02T06:00:00Z,3.22,-2.544,0.000115451,0.001284549
2010-01-02T07:00:00Z,3.28,-2.408,1.136570714,5.810329286
2010-01-02T08:00:00Z,3.69,-1.468,17.47295656,50.95584344
2010-01-02T09:00:00Z,3.97,-0.237,62.81941512,96.26528488
2010-01-02T10:00:00Z,4.24,0.931,113.0460753,118.3378247
2010-01-02T11:00:00Z,4.6,1.92,140.04828,126.53452
2010-01-02T12:00:00Z,4.69,2.427,138.6355186,123.5486814
2010-01-02T13:00:00Z,4.45,2.485,102.9820909,110.9974091
2010-01-02T14:00:00Z,3.76,1.98,53.74889307,82.25940693
